software_unit_id,file,line,end_line,qualified_function,visibility,function_summary,detailed_design_evidence,interface_evidence,requirements_architecture_trace,document_references,unit_verification_trace,test_references,aspice_document_verdict,linked_findings
SWU-EE4367894D,src/analysis/claim_eligibility.py,69,75,_reaction_index,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-EAD4B05709,src/analysis/claim_eligibility.py,78,102,_collect_fvgs,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-8EDD654D1E,src/analysis/claim_eligibility.py,105,196,technical_claim_fact_catalog,public,Return the canonical technical facts an LLM may bind into a reaction.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-AE9B1E87F2,src/analysis/claim_eligibility.py,199,209,_fact_entity_for_ids,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-4FB8932CB6,src/analysis/claim_eligibility.py,212,215,_fact_direction_supports_trade,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-A094DFD75F,src/analysis/claim_eligibility.py,218,249,_relationship_holds,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-582A749531,src/analysis/claim_eligibility.py,252,265,_aligned_fvgs,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-AFF197D9F4,src/analysis/claim_eligibility.py,268,281,_counter_fvgs,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-D280CC6EB5,src/analysis/claim_eligibility.py,284,557,adjudicate_level_proposal_claim,public,Decide whether a level proposal's technical thesis may drive execution.,有函数说明,完整注解,存在符号级文档引用,docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_claim_eligibility.py,P-部分满足,
SWU-972700D46F,src/analysis/claim_eligibility.py,560,568,claim_allows_execution_authorization,public,Rule/engine signals default allow; LLM claims must be core_execution.,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_claim_eligibility.py,P-证据不足,ASPICE-SWE-TRACE
SWU-2B7EB34519,src/analysis/data_freshness.py,18,26,_bar_timestamp,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-4734AF977B,src/analysis/data_freshness.py,29,78,build_data_as_of,public,Summarize bar freshness and whether prices are safe to treat as live.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/report-trust.md,存在同名测试引用,tests/unit/test_data_freshness.py,P-部分满足,
SWU-A1EB4C5F6A,src/analysis/dgt_price_action.py,63,64,_nz_volume,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-8C5D73D5C1,src/analysis/dgt_price_action.py,67,70,_volume_usable,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-62894B9526,src/analysis/dgt_price_action.py,73,79,_atr,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-90D19BF962,src/analysis/dgt_price_action.py,82,149,_consecutive_sr,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-FBF2E7C9DE,src/analysis/dgt_price_action.py,152,207,_spike_and_volatility_levels,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-16616BF5E6,src/analysis/dgt_price_action.py,210,223,_volume_portion,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-998848A755,src/analysis/dgt_price_action.py,226,317,build_volume_profile,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_dgt_price_action.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-692ECE3BAF,src/analysis/dgt_price_action.py,320,339,_dedupe_sr_levels,internal,Keep newest level when prices cluster (Pine deletes duplicate consecutive lines).,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-B29E79E520,src/analysis/dgt_price_action.py,342,383,analyze_dgt_price_action,public,Run full DGT metrics on a Fixed-Range lookback (default 360 chart-TF bars).,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_dgt_price_action.py,P-证据不足,ASPICE-SWE-TRACE
SWU-39CF1265FC,src/analysis/dgt_price_action.py,386,422,dgt_result_to_dict,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-F519F9A949,src/analysis/display_labels.py,22,27,liquidity_label,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/technical-analysis.md,无同名测试追溯证据,,P-证据不足,ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0574DFE158,src/analysis/fact_registry.py,11,13,_as_of_utc,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0A56AF7EAD,src/analysis/fact_registry.py,16,49,_register_numeric,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-9127544E40,src/analysis/fact_registry.py,52,82,_register_text,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-760701887E,src/analysis/fact_registry.py,85,88,_pa_fact_id,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-7A197E3612,src/analysis/fact_registry.py,91,93,calendar_state,public,Public alias for report calendar emptiness / fetch status (Issue #38).,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_calendar_empty.py,P-证据不足,ASPICE-SWE-TRACE
SWU-B21844F1E5,src/analysis/fact_registry.py,96,113,_calendar_state,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-98305CA234,src/analysis/fact_registry.py,116,181,_register_timeframes,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-87B173149D,src/analysis/fact_registry.py,184,212,_register_price_action,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0DA621FC3D,src/analysis/fact_registry.py,215,257,_register_technical_claim_facts,internal,"Register the persisted claim-v2 catalog, including compact-panel omissions.",有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-E744014446,src/analysis/fact_registry.py,260,301,_register_freshness,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0D88FF54F8,src/analysis/fact_registry.py,304,386,_register_external,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-AFAC55BB24,src/analysis/fact_registry.py,389,473,build_fact_registry,public,Register numeric and text facts referenced by narrative validation and UI.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/report-trust.md;docs/reference/examples/report-schema.md,存在同名测试引用,tests/unit/test_calendar_empty.py;tests/unit/test_fact_registry.py;tests/unit/test_golden_report_benchmark.py;tests/unit/test_llm_context_fact_refs.py,P-部分满足,
SWU-F1860A0ED6,src/analysis/fact_registry.py,476,481,allowed_prices,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_fact_registry.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-CBACFA1E82,src/analysis/fact_registry.py,484,492,fact_lookup,public,Resolve a displayed price to registered fact IDs.,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_fact_registry.py,P-证据不足,ASPICE-SWE-TRACE
SWU-E14834AE01,src/analysis/fact_registry.py,495,515,fact_ids_for_signal,public,Map signal geometry fields to canonical fact_ids when registered.,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_fact_registry.py,P-证据不足,ASPICE-SWE-TRACE
SWU-91752C5A3C,src/analysis/fact_registry.py,518,536,compact_fact_index,public,Slim fact list for LLM payloads — cite fact_id instead of duplicating numbers.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/report-trust.md,存在同名测试引用,tests/unit/test_fact_registry.py,P-部分满足,
SWU-9D252E677D,src/analysis/ict_pa.py,80,90,_premium_discount,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-655F9EC66C,src/analysis/ict_pa.py,93,106,_volume_signal,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-51492CA837,src/analysis/ict_pa.py,109,115,_last_numeric,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-B620F510C7,src/analysis/ict_pa.py,118,142,_swing_liquidity,internal,Key liquidity from Lux swing pivots (replaces EQH/EQL for LLM/UI).,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_report_facts.py,P-证据不足,ASPICE-SWE-TRACE
SWU-DD99D46E1A,src/analysis/ict_pa.py,145,158,_latest_structure_labels,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-CAEBE97B43,src/analysis/ict_pa.py,161,203,analyze_timeframe,public,Analyze one timeframe using LuxAlgo SMC detection rules.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/chart-layers.md;docs/architecture/technical-analysis.md;docs/reference/handbook.md;docs/archive/domain/reverse-engineering.md,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_analyst_team_llm.py;tests/unit/test_archive_optimizations.py;tests/unit/test_archive_transfer.py,P-部分满足,
SWU-2279759B7F,src/analysis/ict_pa.py,206,227,sentiment_score,public,Weighted bear/bull/range probabilities.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/llm-agents.md;docs/architecture/report-trust.md;docs/architecture/technical-analysis.md;docs/reference/glossary.md,无同名测试追溯证据,,P-证据不足,ASPICE-SWE4-UV
SWU-3964465D91,src/analysis/level_validator.py,22,34,_location_error,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-4BC8FF4D21,src/analysis/level_validator.py,37,42,_llm_signal_name,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-153AABF750,src/analysis/level_validator.py,45,62,_tp_ladder_error,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-FCBB9C053E,src/analysis/level_validator.py,65,83,_geometry_error,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-A872921E36,src/analysis/level_validator.py,86,93,_position_size,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-89DA4D6E6E,src/analysis/level_validator.py,96,292,validate_llm_levels,public,Convert valid LLM level proposals into existing TradingSignal objects.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/architecture.md;docs/architecture/report-trust.md;docs/reference/handbook.md,存在同名测试引用,tests/unit/test_claim_eligibility.py;tests/unit/test_llm_levels.py,P-部分满足,
SWU-FE20142B1A,src/analysis/level_validator.py,295,302,_grade_force,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-80471DD12F,src/analysis/luxalgo_smc.py,71,77,_true_range,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-F820754950,src/analysis/luxalgo_smc.py,80,87,_atr_series,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-FC6A52D232,src/analysis/luxalgo_smc.py,90,100,_leg_at_bar,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0A1736195C,src/analysis/luxalgo_smc.py,103,106,_parsed_bar,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-8B8BD0C1C0,src/analysis/luxalgo_smc.py,109,112,_fvg_threshold,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-2052AF2DDE,src/analysis/luxalgo_smc.py,115,142,_store_order_block,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_luxalgo_smc.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-31C7DE2CD6,src/analysis/luxalgo_smc.py,145,157,_mitigate_obs,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-A130BD9445,src/analysis/luxalgo_smc.py,160,172,_mitigate_fvgs,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-603728AF0A,src/analysis/luxalgo_smc.py,175,176,_crossover,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0FD674F4F8,src/analysis/luxalgo_smc.py,179,180,_crossunder,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-D33565E210,src/analysis/luxalgo_smc.py,183,193,_internal_confluence_bars,internal,Lux internalFilterConfluence: wick dominance on the signal bar.,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_luxalgo_smc.py,P-证据不足,ASPICE-SWE-TRACE
SWU-D317D1876F,src/analysis/luxalgo_smc.py,196,215,_append_structure_event,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-5978222F4D,src/analysis/luxalgo_smc.py,218,284,_update_structure_pivots,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-64EF8BADDA,src/analysis/luxalgo_smc.py,287,292,_push_ob,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-08FF07C7E5,src/analysis/luxalgo_smc.py,295,588,analyze_luxalgo,public,Run LuxAlgo SMC detection over OHLC bars.,有函数说明,完整注解,存在符号级文档引用,docs/archive/domain/reverse-engineering.md,存在同名测试引用,tests/unit/test_luxalgo_smc.py,P-部分满足,
SWU-891202DED4,src/analysis/narrative_combine.py,29,34,_fmt,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-39E6ED0F5B,src/analysis/narrative_combine.py,37,38,pa_block,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-411453936C,src/analysis/narrative_combine.py,41,51,value_zone_position,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-98C0107C91,src/analysis/narrative_combine.py,54,85,nearest_pa_sr,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-9F20C3627C,src/analysis/narrative_combine.py,88,95,zone_midpoint,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-E61095F39D,src/analysis/narrative_combine.py,98,110,resonance_note,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-9E35377646,src/analysis/narrative_combine.py,113,136,entry_resonance_text,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_narrative_combine.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-6D4B2FE2BB,src/analysis/narrative_combine.py,139,148,pa_trend_label,public,Infer trend wording from price vs PA value area only.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-761EC7D9AF,src/analysis/narrative_combine.py,151,154,liquidity_pa_side_text,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-59652B92DB,src/analysis/narrative_combine.py,157,179,tf_pa_structure_levels,public,Up to two PA level lines for 4h/1h/15m panels.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-0917F96ED2,src/analysis/narrative_combine.py,182,189,tf_pa_condition,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-8F862D6445,src/analysis/narrative_combine.py,192,200,tf_pa_invalidation,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-36832F1F03,src/analysis/narrative_combine.py,203,215,liquidity_side_text,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-75DD4E0160,src/analysis/narrative_combine.py,218,228,tf_pa_context_line,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-8A883DD45A,src/analysis/narrative_combine.py,231,271,build_pa_llm_summary,public,Compact per-TF PA facts for LLM (technical / narrative / levels).,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_narrative_combine.py,P-证据不足,ASPICE-SWE-TRACE
SWU-5441C0B28D,src/analysis/narrative_facts.py,15,30,build_narrative_facts_for_llm,public,Build narrative_facts once from report + optional market context.,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_archive_optimizations.py;tests/unit/test_narrative_facts.py,P-证据不足,ASPICE-SWE-TRACE
SWU-CAFAE2BE89,src/analysis/narrative_sections.py,36,41,_fmt,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-77B59FF6C0,src/analysis/narrative_sections.py,44,62,_section,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-28571AC483,src/analysis/narrative_sections.py,65,67,_intraday_pa_block,internal,Session-day PA block when available.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-9B4186D596,src/analysis/narrative_sections.py,70,79,_overview_volume_context,internal,Prefer session-day POC/VA; fall back to 15m then 5m.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-76AD3FD71D,src/analysis/narrative_sections.py,82,91,_liquidity_pa_context,internal,Intraday liquidity narrative uses session S/R; 5m reserved for entry plans only.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-D63E7F97DE,src/analysis/narrative_sections.py,94,202,build_rule_narrative_sections,public,"Build deterministic, screenshot-density copy from report facts.",有函数说明,完整注解,存在符号级文档引用,docs/architecture/smc-pa-narrative.md;docs/architecture/technical-analysis.md,存在同名测试引用,tests/unit/test_narrative_combine.py;tests/unit/test_narrative_sections.py;tests/unit/test_replay_llm_narrative.py,P-部分满足,
SWU-7FBC737860,src/analysis/narrative_sections.py,205,215,section_to_bullets,public,Flatten one narrative section into legacy bullet lines.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-BECBD2F758,src/analysis/narrative_sections.py,218,220,overview_bullets_from_sections,public,Legacy `market_overview` list derived from canonical narrative_sections.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/technical-analysis.md,无同名测试追溯证据,,P-证据不足,ASPICE-SWE4-UV
